datasets,sampleId,labels,RSAD2,BATF2,NCF1,ETV7,IFIT3,CD274,SGK1,IFIT1,IFI44L,SIGLEC1,WARS1,CTSS,PSAP,SAT1,SRGN,ANKRD22,ACTB,IFI27,CALHM6,GBP5,FCGR1A,UBC,ATF3
GSE111368,GSM3029568,Viral,5.733035322,5.091582065,11.44428829,4.600196228,8.397894527,4.577110382,9.587690156,7.727970168,6.399202994,4.024155319,9.699545913,10.25056677,12.8559836,12.7817033,13.73241276,7.128518186,13.4961008,8.181997116,6.218262883,7.966525492,8.55189299,13.83484312,4.325822872
GSE111368,GSM3029569,Control,10.44088789,5.858750528,10.36138912,4.638644229,10.85321979,3.967003399,9.333028825,12.18324547,11.47815219,3.851616556,10.07576985,9.525167296,11.66538394,11.92240502,12.51088105,6.814505786,13.46078875,13.22117632,6.531610996,10.04904488,7.547609611,13.34617243,5.609426112
GSE111368,GSM3029570,Control,7.876266441,5.024762646,11.27305046,4.229403896,9.844989906,3.825807551,10.64980226,10.54298077,9.112979738,4.332756463,9.729908503,10.09271622,12.76824722,12.50168918,13.47673452,6.209392605,13.69707529,7.776657201,7.248177303,8.692295304,7.538617384,13.92038822,5.003585666
GSE111368,GSM3029571,Viral,10.40247337,5.741470318,11.40828929,5.254499297,11.83525142,4.064578103,9.511196864,12.17517078,12.58583297,6.180291519,9.724299774,10.08430308,13.04679342,12.30712595,13.41670492,6.901472508,13.42099596,13.15318691,6.891128319,9.489340232,8.395498757,13.68926565,5.633276917
GSE111368,GSM3029572,Viral,11.53962438,8.033602955,11.06968771,6.740292888,13.0186026,5.47498432,8.944108864,13.15318691,12.38245711,5.75661136,10.55932761,9.153188349,13.02333196,13.37831978,13.76455216,9.715273594,13.75328431,12.98022899,7.310825392,11.17981611,10.45436189,13.68176189,7.327263538
GSE111368,GSM3029573,Control,7.659770651,4.973152961,11.50409156,4.404774822,9.722091886,4.505595799,10.23524255,10.00131594,8.134354303,3.601363563,8.882918897,9.926047355,11.90505799,11.64316924,13.35084015,6.386497005,13.57367758,7.970022859,6.290040633,9.058726473,6.321101364,13.68176189,5.143498324
GSE111368,GSM3029574,Control,5.442376958,4.710077326,10.52322949,4.384899606,8.160339377,4.203822182,10.37264356,7.03957444,6.059528067,3.717424095,10.15951236,10.23677926,12.71385433,12.22881558,12.87376319,5.749026465,13.46472266,5.261991998,6.525703574,8.543030639,6.310417486,13.86714615,4.885231928
GSE111368,GSM3029575,Viral,8.65866409,7.026314963,10.93913174,4.810450831,10.16966773,4.3636396,8.690246344,10.50559326,10.32739861,4.119516656,9.406228732,9.017939723,12.90186482,12.49743272,13.7419467,9.604741915,13.6065084,12.51961323,6.70009482,8.967275742,9.861800223,13.58711567,4.776490587
GSE111368,GSM3029576,Control,5.86977047,4.98625422,11.05078651,4.08986653,8.26674538,4.14126691,10.00526357,8.589963918,6.851802888,3.859768627,9.571344752,9.858262372,12.39094894,12.050694,12.86931028,6.429205909,13.52757741,5.316572014,6.542983574,8.896357795,6.753435645,13.66207996,5.303396938
GSE111368,GSM3029577,Viral,7.652630553,4.844795966,10.66125984,4.396731277,10.25361878,3.869897989,9.701782668,9.866653109,9.517660039,4.362070615,9.601573383,9.830538506,12.23735389,11.48356648,13.05135739,6.69044371,13.30358321,8.001406686,6.825929906,10.06076255,9.200570042,13.1633469,5.032139151
GSE111368,GSM3029578,Viral,10.63091589,7.217393955,10.85948922,5.879675018,11.78449515,5.090278373,8.893503477,12.79559978,11.63678333,5.052617321,9.102552729,10.01190977,12.64888904,13.2068848,13.4961008,8.360421253,13.69707529,12.51530831,5.819870991,10.41242413,9.155785911,13.77867023,5.679906689
